 Nº SABO ;N° TMS;Descripción;Aplicación;MARCA;PRECIO LISTA;;
76860;76860;Junta de sellado del diafragma de la tapa de valvulas;Motor Firefly 1.3L 8v 4cils SOHC - Vehiculos: ARGO/CRONOS/PULSE/STRADA/UNO;FIAT;3.194,65;;
76870;76870;Junta cierre diafragma tapa de valvulas ;OM 904/906/924/926;MB;8.183,77;;
76875;76875;Junta de cierre de diafragma tapa de valvulas ;Motores 2,0L 16V TSI 4CIL (DOHC);VW;3.846,45;;
76904;76904;Junta de la tapa de válvulas;Motor MB OM 904 / 924 A / LA - Eletronico;MB;22.901,67;;
76906;76906;Junta de la tapa de válvulas;Motor MB OM 906 / 926 A / LA - Eletronico;MB;31.930,36;;
76907;76907;Junta tapa de valvulas c/goma p/tornillos (6c);Motor MB OM 906/926;MB;31.930,36;;
76910;76910;Junta de sellado;Citröen / Peugeot / Mini - 1.6L 16v THP EP6 TURBO- Vehiculos: Citroën - C4 CACTUS / C4 LOUNGE // Peugeot: 208 / 308 / 408 / 2008 // Mini: Cooper / Paceman;PEUGEOT/ CITROEN;4.200,51;;
76984;76984;Junta base de la bomba de agua;Motor VW AP 1.6/1.8/2.0L;VW;39.864,66;;
77085;77085;Juego de juntas completo para caja de cambios con retenes Caja ZF16S , 1300/16S1900 , /16S 1650;VOLVO . N10 , N12 , FH12 , NH12 , //SCANIA RANDON RK425 , RK430 , //MB 1929 , 1932 , 1933 , 1934 , HPN 1935 , HPN1530 , HPN 1630 , L1938 , L1935 , L2638 , LS1938 , LS2638 , L1942 , L1932 , LS1632 ASTTON 1635 //VW 18310 , 19320 , 31320 // IVECO EUROTECH 450E37 , POWER STAR 450E37T;VOLVO;102.671,24;;
77087;77087;Juego de juntas para caja de transferencia c/retenes ,Caja ZF 16 s 1300/16S1600/16S1900/16S1650;VOLVO:N10, N12 , FH12 , NH12 , //SCANIA RANDONRK425 , RK430 //MB L1935 , LS1938 , LS2638 , L1942 , LS1942 , L1632 , LS1632;VOLVO;22.571,74;;
77088;77088;Juego de juntas de la caja de cambios;Caja de cambios ZF S5 680 / S6 680;ZF;24.334,03;;
77096;77096;Juego de juntas de reparo  de reducción de cambios con retenes ;MB 1929/1923/1933/1934 HPN1935, HPN153 , HPN1630 , L1938 , L1935 , L2638, LS1938 , LS2638 , L1942 , LS1942, L1632, LS1632, ATRON 1635 //VOLVO , N10/N12/RANDON RK425,FH12,NH12 // Scania , RANDON RK425  RANDON RK430 //vw , 18310/19320, 31320 ,// IvecoeUROTCH 450E37 , POWER STAR 40 E37T ;MB;17.840,12;;
77097;77097;Juego completo de caja cambios  con  retenes ;Cambio ZF 16S-221/16S1685TD /16S2180TO/16S2280TO //VW 19,370 , 25.370 , 31,370// MAN 19-400 A31-400, 25-390, 19-330 A 31-330 // Iveco , Stralis ;ZF;238.697,15;;
77098;77098;Juego completo de caja cambios  con  retenes ;MB ATEGO 1315 /141/ , 1518/ 1718/1725 /162 6X2/1622 6X2, 2525 , OF1722M , O500M , OH 1622 , OF/OH 1418 OF 1248;MB;53.488,18;;
77099;77099;Juego de juntas de reparacón de caja de cambios C/R;MB CAJA DE CAMBIOS  G210 /G211/ G221 / G240;MB;162.403,87;;
77103;77103;Juego de juntas de reparacón de caja de Transferencia C/R;MB CAJA G210  / 211/  221/ 240;MB;27.086,09;;
77105;77105;Juego de reparación caja de transferencia;"Caja de cambios ZF 16S 228 / 16S1685TD / 16S221 / 16S2180TO / 16S2280TO (Camiones Iveco Strallis; Volkswagen 19.370, 25.370, 31.370)";ZF;36.806,82;;
77106;77106;Juego de juntas para caja reductora de cambios con retenes - ZF 16S229;IVECO STRALLIS , VW 19,370 , 35,370 , 31,371;IVECO;14.758,14;;
77107;77107;Juego de reparación caja de transferencia;Caja de cambios Volvo VT 2014 / 2214 / 2514 (Camiones Volvo FM7 / FM12 / FH12 / FH16 / NH12);VOLVO;19.956,48;;
77108;77108;Juego reparacion cilindro de marcha baja ;Caja de cambios Volvo VT 2014 / 2214 / 2514 (Camiones Volvo FM7 / FM12 / FH12 / FH16 / NH12);VOLVO;58.131,28;;
77109;77109;Juego de juntas completo de la caja de cambios;Caja de cambios ZF S5-42 - Camiones Leves M.B. -  712C / 914C / 1215C;ZF;40.242,88;;
